package,version,riskLevel,riskScore,toolCount,hasPostInstall,typosquatRisk,scannedAt
@chenlinyang/mcp-server-mysql,1.0.2,LOW,10,6,false,false,2026-04-25T03:19:02.338Z
@chkp/quantum-management-mcp,1.4.2,LOW,10,0,false,false,2026-04-25T03:19:03.054Z
@agent_fi/mcp-server,0.3.0,CRITICAL,100,52,false,false,2026-04-26T03:40:43.619Z
@aliyun-supabase/mcp-server-supabase,1.5.2,MEDIUM,15,0,false,false,2026-04-26T03:40:44.854Z
@calcis/mcp-server,1.0.4,CRITICAL,80,6,false,false,2026-04-26T03:40:45.770Z
@circleci/mcp-server-circleci,0.15.1,CLEAN,0,0,false,false,2026-04-26T03:40:46.496Z
@civic/passthrough-mcp-server,0.12.1,CLEAN,0,0,false,false,2026-04-26T03:40:47.532Z
@cjavdev/believe-mcp,0.28.0,HIGH,60,2,false,false,2026-04-26T03:40:48.802Z
@clareo/clareo-mcp,1.9.2,CLEAN,0,0,false,false,2026-04-26T03:40:49.816Z
@claritylabs/cl-sdk-mcp,0.17.0,CLEAN,0,0,false,false,2026-04-26T03:40:50.749Z
@claude-flow/mcp,3.0.0-alpha.8,CLEAN,0,8,false,false,2026-04-26T03:40:51.694Z
@claudeink/mcp-server,2.2.11,CLEAN,0,0,false,false,2026-04-26T03:40:53.063Z
@clawallex/mcp-server,1.0.9,CLEAN,0,0,false,false,2026-04-26T03:40:54.226Z
@clerk/clerk-mcp,0.0.13,LOW,5,0,false,false,2026-04-26T03:40:55.196Z
@clerk/mcp-tools,0.5.0,LOW,10,0,false,false,2026-04-26T03:40:56.211Z
@clicks-protocol/mcp-server,0.3.0,LOW,5,0,false,false,2026-04-26T03:40:57.194Z
@clipform/mcp-server,1.7.0,CLEAN,0,0,false,false,2026-04-26T03:40:58.376Z
@cloudflare/mcp-server-cloudflare,0.2.0,CRITICAL,100,184,false,false,2026-04-26T03:40:59.307Z
@cloudflare/playwright-mcp,0.0.5,MEDIUM,20,0,false,false,2026-04-26T03:41:00.238Z
@cloudglue/cloudglue-mcp-server,0.3.1,CLEAN,0,0,false,false,2026-04-26T03:41:01.478Z
@cloveos/mcp-server,2.1.0,HIGH,55,0,false,false,2026-04-26T03:41:02.690Z
@cmssy/mcp-server,0.6.0,CLEAN,0,0,false,false,2026-04-26T03:41:03.582Z
@cnbcool/mcp-server,0.6.7,LOW,10,0,false,false,2026-04-26T03:41:04.705Z
@cocal/google-calendar-mcp,2.6.1,HIGH,50,24,false,false,2026-04-26T03:41:05.488Z
@codacy/codacy-mcp,0.6.21,LOW,5,0,false,false,2026-04-26T03:41:06.678Z
